,LoanAmount,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsReported,DateApproved,Lender
31,52940.0,HONOLULU,HI,96814.0,621111.0,subchapter s corporation,Unanswered,Unanswered,Unanswered,,7.0,2020-04-16,Bank of Hawaii
32,1400.0,Wailuku,,96793.0,711310.0,SP,White,Male Owned,Non-Veteran,,1.0,05/08/2020,Hawaii National Bank
33,4700.0,honolulu,HI,96813.0,722310.0,Sole Proprietorship,Unanswered,Male Owned,Non-Veteran,,1.0,04/16/2020,"Readycap Lending, LLC"
34,8125.0,WAILUKU,HI,96793.0,541990.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,1.0,05/13/2020,Bank of Hawaii
35,71400.0,AIEA,HI,96701.0,621111.0,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,5.0,2020-04-05,"American Savings Bank, FSB"
36,28537.0,HILO,Hawaii,96720.0,441310.0,limited  liability company(llc),Unanswered,Male Owned,Non-Veteran,,1.0,2020-04-30,First Hawaiian Bank
37,3700.0,MILILANI,HI,96789.0,611710.0,Independent Contractors,Unanswered,Unanswered,Unanswered,,1.0,2020-05-06,"American Savings Bank, FSB"
38,11592.0,HALEIWA,,96712.0,561520.0,limited  liability company(llc),Unanswered,Unanswered,Unanswered,,7.0,2020-05-11,Bank of Hawaii
39,39500.0,PEARL CITY,HI,96782.0,999990.0,Corporation,Unanswered,Unanswered,Unanswered,,5.0,2020-04-28,"American Savings Bank, FSB"
40,21500.0,Honolulu,Hawaii,96819.0,424410.0,Corporation,Asian,Male Owned,Non-Veteran,,4.0,05/20/2020,Hawaii National Bank
41,12347.0,WAIPAHU,,96797.0,238220.0,Self-Employed Individuals,Unanswered,Unanswered,Unanswered,,1.0,2020-07-27,"Kabbage, Inc."
42,50000.0,KAMUELA,HI,96743.0,531190.0,Corp,Unanswered,Unanswered,Unanswered,,,2020-04-14,Central Pacific Bank
43,20832.5,Paia,HI,96779.0,531210.0,INDEPENDENT CONTRACTORS,Unanswered,Unanswered,Unanswered,,1.0,05/20/2020,First Hawaiian Bank
44,4400.0,Honolulu,HI,96814.0,541910.0,CORPORATION,Asian,Male Owned,Non-Veteran,,3.0,2020-05-11,Hawaii National Bank
45,52000.0,WAILUKU,,96793.0,621111.0,limited  liability company(llc),White,Male Owned,Veteran,,4.0,2020-04-10,Central Pacific Bank
46,21067.0,KAHULUI,Hawaii,96732.0,811111.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,,05/08/2020,Bank of Hawaii
47,6400.0,KAILUA KONA,HI,96740.0,561520.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,1.0,04/10/2020,Central Pacific Bank
48,8985.0,Kapolei,Hawaii,96707.0,339920.0,sole proprietorship,Unanswered,Unanswered,Unanswered,,1.0,2020-05-01,First Hawaiian Bank
49,138200.0,HONOLULU,,96816.0,541330.0,Corporation,Unanswered,Unanswered,Unanswered,,12.0,04/07/2020,First Hawaiian Bank
50,54900.0,KILAUEA,HI,96754.0,532490.0,corporation,White,Male Owned,Non-Veteran,,9.0,2020-04-15,First Hawaiian Bank
51,57355.0,HONOLULU,,96814.0,446120.0,CORPORATION,Unanswered,Unanswered,Unanswered,,8.0,2020-04-28,Central Pacific Bank
52,53400.0,HONOLULU,Hawaii,96826.0,722511.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,18.0,2020-04-11,Central Pacific Bank
53,15900.0,HONOLULU,Hawaii,96815.0,448110.0,corporation,Unanswered,Unanswered,Unanswered,,2.0,2020-05-01,"American Savings Bank, FSB"
54,15000.0,Kapaa,HI,96746.0,611620.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,14.0,2020-04-27,Kaua'i Government Employees' FCU
55,39334.0,Pearl City,HI,96782.0,238330.0,limited  liability company(llc),Unanswered,Unanswered,Unanswered,,0.0,04/28/2020,Central Pacific Bank
56,112672.0,HANA,Hawaii,96713.0,445110.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,14.0,2020-05-18,Bank of Hawaii
57,7400.0,AIEA,,96701.0,423990.0,SUBCHAPTER S CORPORATION,Unanswered,Unanswered,Unanswered,,1.0,05/01/2020,First Hawaiian Bank
58,1000.0,Haiku-Pauwela,HI,96708.0,711510.0,SELF-EMPLOYED INDIVIDUALS,Unanswered,Unanswered,Unanswered,,0.0,2020-05-07,Celtic Bank Corporation
59,2800.0,Honolulu,Hawaii,,541219.0,Self-Employed Individuals,Unanswered,Unanswered,Unanswered,,0.0,05/13/2020,Central Pacific Bank
60,6400.0,HONOLULU,HI,96822.0,236220.0,LLC,Unanswered,Unanswered,Unanswered,,,2020-04-15,Central Pacific Bank
61,14700.0,Pearl City,,96782.0,445110.0,sole proprietorship,Unanswered,Unanswered,Unanswered,,2.0,05/01/2020,"American Savings Bank, FSB"
62,6714.0,KAPAA,HI,96746.0,711510.0,SOLE PROPRIETORSHIP,Unanswered,Unanswered,Unanswered,,,04/15/2020,Central Pacific Bank
63,10267.5,Lihue,HI,96766.0,453220.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,3.0,2020-05-04,First Hawaiian Bank
64,61500.0,HONOLULU,,96813.0,531390.0,limited  liability company(llc),Unanswered,Unanswered,Unanswered,,5.0,2020-04-15,Central Pacific Bank
65,20800.0,KAILUA,Hawaii,96734.0,621330.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,1.0,2020-04-30,"American Savings Bank, FSB"
66,34800.0,HONOLULU,Hawaii,96822.0,621210.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,3.0,2020-04-06,Central Pacific Bank
67,30000.0,KAPOLEI,,96707.0,811121.0,LLC,Unanswered,Unanswered,Unanswered,,,2020-04-15,Central Pacific Bank
68,33142.5,Kihei,HI,96753.0,448190.0,Corp,Unanswered,Unanswered,Unanswered,,4.0,2020-04-28,First Hawaiian Bank
69,8125.0,Kapolei,HI,96707.0,621320.0,Corp,Unanswered,Unanswered,Unanswered,,1.0,2020-05-21,WebBank
70,22200.0,WAIANAE,Hawaii,96792.0,453110.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,6.0,2020-04-28,Central Pacific Bank
71,15300.0,Honolulu,HI,96826.0,531210.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,1.0,2020-05-16,First Hawaiian Bank
72,9105.0,HONOLULU,HI,,541430.0,corporation,Unanswered,Unanswered,Unanswered,,1.0,04/27/2020,Bank of Hawaii
73,75000.0,HONOLULU,Hawaii,96817.0,722511.0,SOLE PROPRIETORSHIP,Unanswered,Unanswered,Unanswered,,3.0,04/07/2020,Central Pacific Bank
74,2800.0,KIHEI,HI,,541512.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,2.0,05/07/2020,"American Savings Bank, FSB"
75,4125.0,HONOLULU,,96818.0,517919.0,Corporation,Unanswered,Unanswered,Unanswered,,4.0,2020-05-01,"JPMorgan Chase Bank, National Association"
76,20800.0,Honolulu,,96825.0,531210.0,Independent Contractors,Unanswered,Unanswered,Unanswered,,0.0,2020-04-29,Central Pacific Bank
77,83716.0,HONOLULU,HI,96819.0,423990.0,Corporation,Asian,Male Owned,Non-Veteran,,10.0,06/05/2020,First Hawaiian Bank
78,6100.0,Kihei,Hawaii,96753.0,812990.0,Self-Employed Individuals,Unanswered,Unanswered,Unanswered,,1.0,04/29/2020,"American Savings Bank, FSB"
79,1284.0,KAPAA,Hawaii,96746.0,453220.0,sole proprietorship,Unanswered,Unanswered,Unanswered,,,05/08/2020,Bank of Hawaii
80,26287.5,Lihue,HI,96766.0,541110.0,limited  liability company(llc),Unanswered,Unanswered,Unanswered,,4.0,2020-04-29,Kaua'i Government Employees' FCU
81,5000.0,HONOLULU,,96822.0,722513.0,Corporation,Unanswered,Unanswered,Unanswered,,2.0,2020-04-15,First Hawaiian Bank
82,7100.0,LIHUE,,96766.0,531110.0,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,1.0,2020-05-14,"American Savings Bank, FSB"
83,82700.0,KAMUELA,,96743.0,522292.0,Corp,Unanswered,Unanswered,Unanswered,,5.0,2020-04-27,"Flagstar Bank, FSB"
84,5927.5,Wailuku,Hawaii,96793.0,721310.0,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,,07/28/2020,"Fundbox, Inc."
85,18700.0,HONOLULU,HI,96814.0,423910.0,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,6.0,04/07/2020,First Hawaiian Bank
86,69000.0,HONOLULU,Hawaii,96817.0,561790.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,4.0,05/05/2020,First National Bank Texas
87,16035.0,HONOLULU,,96821.0,713990.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,1.0,2020-04-10,Bank of Hawaii
88,94122.5,HONOLULU,Hawaii,96814.0,621210.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,7.0,04/28/2020,First Hawaiian Bank
89,5437.0,HALEIWA,,96712.0,453998.0,Sole Proprietorship,Unanswered,Female Owned,Unanswered,,1.0,05/07/2020,Bank of Hawaii
90,777.72,Kapaa,,96746.0,424210.0,LIMITED  LIABILITY COMPANY(LLC),Unanswered,Unanswered,Unanswered,,1.0,2020-04-29,Gather FCU
91,100020.0,HONOLULU,Hawaii,96814.0,722513.0,LLC,Unanswered,Unanswered,Unanswered,,14.0,04/16/2020,First Hawaiian Bank
92,5805.0,HONOLULU,Hawaii,96814.0,531390.0,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,,2020-05-15,Bank of Hawaii
93,59095.0,KANEOHE,Hawaii,96744.0,561510.0,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,,9.0,05/06/2020,"Bank of America, National Association"
94,7500.0,HONOLULU,HI,96825.0,446130.0,INDEPENDENT CONTRACTORS,Unanswered,Unanswered,Unanswered,,12.0,04/10/2020,Central Pacific Bank
95,1625.0,HONOLULU,Hawaii,96819.0,722511.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,2.0,2020-04-30,Celtic Bank Corporation
96,46700.0,KAILUA KONA,,96740.0,531210.0,limited  liability company(llc),Unanswered,Unanswered,Unanswered,,6.0,2020-04-10,Central Pacific Bank
97,14500.0,Haleiwa,HI,96712.0,444190.0,LLC,Unanswered,Male Owned,Unanswered,,2.0,05/11/2020,"American Savings Bank, FSB"
98,15000.0,HILO,HI,96720.0,811111.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,3.0,04/04/2020,Central Pacific Bank
99,15728.12,Haleiwa,,,722511.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,4.0,2020-05-09,Celtic Bank Corporation
100,80700.0,HONOLULU,Hawaii,96819.0,532420.0,corporation,Unanswered,Unanswered,Unanswered,,11.0,2020-05-12,Central Pacific Bank
101,26700.0,Honolulu,Hawaii,96813.0,448310.0,CORPORATION,Unanswered,Unanswered,Unanswered,,0.0,05/03/2020,Central Pacific Bank
102,6929.0,Honolulu,,96816.0,453910.0,Sole Proprietorship,Unanswered,Male Owned,Non-Veteran,,0.0,05/07/2020,Central Pacific Bank
103,7140.83,KAPAA,Hawaii,96746.0,236118.0,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,1.0,2020-05-01,Gather FCU
104,3925.0,Kailua Kona,,96740.0,541921.0,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,1.0,05/04/2020,First Hawaiian Bank
105,13862.0,KANEOHE,,96744.0,711410.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,1.0,05/12/2020,Bank of Hawaii
106,41667.0,KAILUA,HI,96734.0,541611.0,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,,2020-04-14,Central Pacific Bank
107,8800.0,PAHOA,,96778.0,453998.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0.0,2020-05-14,Central Pacific Bank
108,61687.0,MAKAWAO,HI,96768.0,624120.0,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,,04/16/2020,Bank of Hawaii
109,3795.0,HONOLULU,Hawaii,96825.0,621330.0,Corporation,Unanswered,Unanswered,Unanswered,,1.0,2020-05-02,First Hawaiian Bank
110,4425.0,HONOLULU,HI,96815.0,812112.0,Self-Employed Individuals,Unanswered,Unanswered,Unanswered,,1.0,2020-04-29,Central Pacific Bank
111,26177.0,Kailua,,96734.0,541330.0,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,5.0,2020-05-14,"Kabbage, Inc."
112,38200.0,HONOLULU,Hawaii,96813.0,541690.0,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,3.0,04/10/2020,"American Savings Bank, FSB"
113,2867.5,HONOLULU,,96817.0,999990.0,subchapter s corporation,Unanswered,Unanswered,Unanswered,,1.0,05/07/2020,First Hawaiian Bank
114,72360.0,LAHAINA,Hawaii,96761.0,722310.0,LIMITED  LIABILITY COMPANY(LLC),Unanswered,Unanswered,Unanswered,,10.0,2020-04-07,Bank of Hawaii
115,67900.0,KAPOLEI,Hawaii,96707.0,445299.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,9.0,04/03/2020,"American Savings Bank, FSB"
116,4500.0,HILO,Hawaii,96720.0,811212.0,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,0.0,2020-05-17,Central Pacific Bank
117,9000.0,KAHULUI,Hawaii,96732.0,492210.0,limited  liability company(llc),Unanswered,Male Owned,Non-Veteran,,4.0,04/28/2020,Bank of Hawaii
118,61600.0,WAIPAHU,,,238210.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,6.0,04/06/2020,"American Savings Bank, FSB"
119,82500.0,HONOLULU,HI,96826.0,561720.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,20.0,2020-04-11,Central Pacific Bank
120,13700.0,Hilo,,96720.0,541110.0,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,0.0,2020-04-30,Central Pacific Bank
121,2281.0,LAHAINA,Hawaii,96761.0,624410.0,SEI,Unanswered,Unanswered,Unanswered,,1.0,2020-08-05,"Kabbage, Inc."
122,27500.0,KANEOHE,,96744.0,812199.0,LLC,Unanswered,Unanswered,Unanswered,,6.0,04/08/2020,First Hawaiian Bank
123,14147.0,HONOLULU,,96816.0,531210.0,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,1.0,04/28/2020,Bank of Hawaii
124,5250.0,HONOLULU,,96826.0,722513.0,CORPORATION,Unanswered,Unanswered,Unanswered,,2.0,04/27/2020,Bank of Hawaii
125,13547.0,HONOLULU,,96815.0,531210.0,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,1.0,2020-05-15,Bank of Hawaii
126,8547.0,HONOLULU,HI,96817.0,812112.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,1.0,05/11/2020,Bank of Hawaii
127,38332.0,HONOLULU,Hawaii,96819.0,424490.0,Corporation,Unanswered,Unanswered,Unanswered,,6.0,2020-05-07,First Hawaiian Bank
128,29200.0,HONOLULU,Hawaii,96816.0,541199.0,CORPORATION,Unanswered,Unanswered,Unanswered,,5.0,2020-04-29,"American Savings Bank, FSB"
129,30300.0,HONOLULU,,96815.0,812111.0,self-employed individuals,Unanswered,Unanswered,Unanswered,,2.0,2020-04-12,Central Pacific Bank
130,130332.0,Honolulu,Hawaii,96815.0,454390.0,limited  liability company(llc),Unanswered,Unanswered,Unanswered,,,05/18/2020,"FC Marketplace, LLC (dba Funding Circle)"
131,10213.55,Kaneohe,Hawaii,96744.0,812112.0,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,0.0,05/04/2020,Celtic Bank Corporation
132,58800.0,Waipahu,Hawaii,96797.0,532310.0,Corp,Asian,Male Owned,Non-Veteran,,5.0,04/15/2020,Hawaii National Bank
133,20832.0,HONOLULU,,96813.0,524210.0,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,,2020-06-18,Bank of Hawaii
134,26100.0,KALAHEO,,96741.0,531120.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,3.0,2020-04-09,First Hawaiian Bank
135,3447.3,Honolulu,HI,96813.0,812111.0,sole proprietorship,Unanswered,Unanswered,Unanswered,,0.0,05/12/2020,Celtic Bank Corporation
136,20200.0,EWA BEACH,Hawaii,96706.0,722320.0,Corporation,Unanswered,Unanswered,Unanswered,,13.0,04/28/2020,"American Savings Bank, FSB"
137,4700.0,HONOLULU,Hawaii,96826.0,423420.0,SP,Unanswered,Unanswered,Unanswered,,1.0,2020-04-10,Central Pacific Bank
138,5300.0,HONOLULU,HI,96825.0,531210.0,Independent Contractors,Unanswered,Unanswered,Unanswered,,1.0,05/01/2020,"American Savings Bank, FSB"
139,10800.0,HONOLULU,Hawaii,96816.0,541613.0,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,1.0,2020-04-10,Central Pacific Bank
140,13500.0,WAILUKU,,96793.0,453220.0,Corporation,Unanswered,Male Owned,Non-Veteran,,2.0,2020-05-04,"American Savings Bank, FSB"
141,52300.0,KALAHEO,Hawaii,96741.0,722511.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,7.0,04/05/2020,"American Savings Bank, FSB"
142,39800.0,Kalaheo,,96741.0,811111.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,4.0,2020-04-30,First Hawaiian Bank
143,121200.0,HONOLULU,Hawaii,96816.0,721199.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,22.0,2020-04-15,First Hawaiian Bank
144,70557.0,PRINCEVILLE,,96722.0,711110.0,partnership,Unanswered,Female Owned,Non-Veteran,,31.0,2020-06-26,Intuit Financing Inc.
145,1500.0,Honolulu,,96825.0,453220.0,Self-Employed Individuals,Unanswered,Unanswered,Unanswered,,0.0,2020-05-26,Central Pacific Bank
146,22700.0,HONOLULU,,96814.0,541110.0,sole proprietorship,Unanswered,Unanswered,Unanswered,,1.0,04/05/2020,Bank of Hawaii
147,89277.0,HONOLULU,HI,96818.0,623110.0,Corporation,Unanswered,Unanswered,Unanswered,,13.0,05/11/2020,Bank of Hawaii
148,132500.0,HONOLULU,Hawaii,96826.0,722513.0,Corporation,Unanswered,Unanswered,Unanswered,,23.0,04/06/2020,Central Pacific Bank
149,32900.0,HONOLULU,,96821.0,813110.0,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,3.0,2020-04-16,Central Pacific Bank
150,30500.0,Waikoloa Village,Hawaii,96738.0,561312.0,Sole Proprietorship,Unanswered,Male Owned,Non-Veteran,,3.0,04/13/2020,"Readycap Lending, LLC"
151,37755.0,KANEOHE,HI,96744.0,811121.0,CORPORATION,Unanswered,Unanswered,Unanswered,,3.0,2020-04-16,Bank of Hawaii
152,21665.0,KAPAA,,96746.0,561720.0,LIMITED  LIABILITY COMPANY(LLC),Unanswered,Unanswered,Unanswered,,2.0,04/13/2020,Bank of Hawaii
153,106000.0,KANEOHE,,96744.0,622110.0,Corporation,Unanswered,Unanswered,Unanswered,,10.0,2020-04-05,Central Pacific Bank
154,50000.0,KAPOLEI,Hawaii,96707.0,811121.0,Subchapter S Corporation,Unanswered,Unanswered,Veteran,,4.0,2020-04-05,Bank of Hawaii
155,69500.0,HONOLULU,Hawaii,96825.0,238210.0,limited  liability company(llc),Unanswered,Unanswered,Unanswered,,7.0,2020-04-12,Central Pacific Bank
156,19025.0,MAKAWAO,HI,96768.0,541611.0,Corp,Unanswered,Unanswered,Unanswered,,,04/15/2020,Bank of Hawaii
157,44700.0,OCEAN VIEW,HI,96737.0,999990.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,4.0,04/09/2020,Central Pacific Bank
158,54800.0,HONOLULU,,,531311.0,CORPORATION,Unanswered,Unanswered,Unanswered,,8.0,2020-04-27,First Hawaiian Bank
159,13500.0,KIHEI,HI,96753.0,713990.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,2.0,04/11/2020,Bank of Hawaii
160,71400.0,AIEA,HI,96701.0,541990.0,Corporation,Unanswered,Unanswered,Unanswered,,4.0,2020-04-08,First Hawaiian Bank
161,20832.0,HONOLULU,,96813.0,531390.0,sole proprietorship,Unanswered,Unanswered,Unanswered,,,2020-06-23,Bank of Hawaii
162,6695.0,PEARL CITY,Hawaii,96782.0,812112.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,1.0,2020-04-27,Bank of Hawaii
163,49700.0,HONOLULU,,96817.0,236115.0,Corporation,Unanswered,Unanswered,Unanswered,,9.0,2020-04-13,"American Savings Bank, FSB"
164,2200.0,EWA BEACH,HI,96706.0,454390.0,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,0.0,2020-04-30,Central Pacific Bank
165,6557.0,EWA BEACH,Hawaii,96706.0,561730.0,sole proprietorship,Unanswered,Unanswered,Unanswered,,1.0,05/11/2020,Bank of Hawaii
166,8345.0,WAILUKU,Hawaii,96793.0,423310.0,sole proprietorship,Unanswered,Unanswered,Unanswered,,1.0,04/28/2020,Bank of Hawaii
167,3863.0,KAILUA,,96734.0,711510.0,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,0.0,05/06/2020,"Wells Fargo Bank, National Association"
168,6700.0,HONOLULU,HI,96825.0,541211.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,04/12/2020,Bank of Hawaii
169,7250.0,WAIMANALO,HI,96795.0,115112.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,1.0,04/27/2020,First Hawaiian Bank
170,20000.0,HONOLULU,,96815.0,237990.0,SELF-EMPLOYED INDIVIDUALS,Unanswered,Unanswered,Unanswered,,1.0,2020-05-08,"American Savings Bank, FSB"
171,17600.0,LAHAINA,HI,96761.0,531210.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,1.0,2020-04-15,Central Pacific Bank
172,109300.0,AIEA,,96701.0,424130.0,Corp,Unanswered,Unanswered,Unanswered,,7.0,2020-04-05,"American Savings Bank, FSB"
173,3241.92,WAHIAWA,Hawaii,96786.0,722513.0,LIMITED  LIABILITY COMPANY(LLC),Unanswered,Unanswered,Unanswered,,1.0,05/07/2020,HawaiiUSA FCU
174,50040.0,KIHEI,HI,96753.0,722511.0,Corporation,Unanswered,Unanswered,Unanswered,,14.0,2020-05-11,Bank of Hawaii
175,25000.0,KAILUA,,96734.0,722330.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,8.0,2020-04-06,"American Savings Bank, FSB"
176,52100.0,Hilo,HI,96721.0,445120.0,Corporation,Unanswered,Male Owned,Veteran,,7.0,04/30/2020,First Hawaiian Bank
177,16052.0,HONOLULU,HI,96817.0,624310.0,limited  liability company(llc),Asian,Male Owned,Non-Veteran,,1.0,04/12/2020,HawaiiUSA FCU
