LoanAmount,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsReported,DateApproved,Lender
1000.0,Haiku-Pauwela,HI,96708,711510.0,SELF-EMPLOYED INDIVIDUALS,Unanswered,Unanswered,Unanswered,,0.0,05/07/2020,Celtic Bank Corporation
2800.0,Honolulu,Hawaii,,541219.0,Self-Employed Individuals,Unanswered,Unanswered,Unanswered,,0.0,05/13/2020,Central Pacific Bank
6400.0,HONOLULU,HI,96822,236220.0,LLC,Unanswered,Unanswered,Unanswered,,,04/15/2020,Central Pacific Bank
14700.0,Pearl City,,96782,445110.0,sole proprietorship,Unanswered,Unanswered,Unanswered,,2.0,05/01/2020,"American Savings Bank, FSB"
6714.0,KAPAA,HI,96746,711510.0,SOLE PROPRIETORSHIP,Unanswered,Unanswered,Unanswered,,,04/15/2020,Central Pacific Bank
10267.5,Lihue,HI,96766,453220.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,3.0,05/04/2020,First Hawaiian Bank
61500.0,HONOLULU,,96813,531390.0,limited  liability company(llc),Unanswered,Unanswered,Unanswered,,5.0,04/15/2020,Central Pacific Bank
20800.0,KAILUA,Hawaii,96734,621330.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,1.0,04/30/2020,"American Savings Bank, FSB"
34800.0,HONOLULU,Hawaii,96822,621210.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,3.0,04/06/2020,Central Pacific Bank
30000.0,KAPOLEI,,96707,811121.0,LLC,Unanswered,Unanswered,Unanswered,,,04/15/2020,Central Pacific Bank
33142.5,Kihei,HI,96753,448190.0,Corp,Unanswered,Unanswered,Unanswered,,4.0,04/28/2020,First Hawaiian Bank
8125.0,Kapolei,HI,96707,621320.0,Corp,Unanswered,Unanswered,Unanswered,,1.0,05/21/2020,WebBank
22200.0,WAIANAE,Hawaii,96792,453110.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,6.0,04/28/2020,Central Pacific Bank
15300.0,Honolulu,HI,96826,531210.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,1.0,05/16/2020,First Hawaiian Bank
9105.0,HONOLULU,HI,,541430.0,corporation,Unanswered,Unanswered,Unanswered,,1.0,04/27/2020,Bank of Hawaii
75000.0,HONOLULU,Hawaii,96817,722511.0,SOLE PROPRIETORSHIP,Unanswered,Unanswered,Unanswered,,3.0,04/07/2020,Central Pacific Bank
2800.0,KIHEI,HI,,541512.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,2.0,05/07/2020,"American Savings Bank, FSB"
4125.0,HONOLULU,,96818,517919.0,Corporation,Unanswered,Unanswered,Unanswered,,4.0,05/01/2020,"JPMorgan Chase Bank, National Association"
20800.0,Honolulu,,96825,531210.0,Independent Contractors,Unanswered,Unanswered,Unanswered,,0.0,04/29/2020,Central Pacific Bank
83716.0,HONOLULU,HI,96819,423990.0,Corporation,Asian,Male Owned,Non-Veteran,,10.0,06/05/2020,First Hawaiian Bank
6100.0,Kihei,Hawaii,96753,812990.0,Self-Employed Individuals,Unanswered,Unanswered,Unanswered,,1.0,04/29/2020,"American Savings Bank, FSB"
1284.0,KAPAA,Hawaii,96746,453220.0,sole proprietorship,Unanswered,Unanswered,Unanswered,,,05/08/2020,Bank of Hawaii
26287.5,Lihue,HI,96766,541110.0,limited  liability company(llc),Unanswered,Unanswered,Unanswered,,4.0,04/29/2020,Kaua'i Government Employees' FCU
5000.0,HONOLULU,,96822,722513.0,Corporation,Unanswered,Unanswered,Unanswered,,2.0,04/15/2020,First Hawaiian Bank
7100.0,LIHUE,,96766,531110.0,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,1.0,05/14/2020,"American Savings Bank, FSB"
82700.0,KAMUELA,,96743,522292.0,Corp,Unanswered,Unanswered,Unanswered,,5.0,04/27/2020,"Flagstar Bank, FSB"
5927.5,Wailuku,Hawaii,96793,721310.0,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,,07/28/2020,"Fundbox, Inc."
18700.0,HONOLULU,HI,96814,423910.0,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,6.0,04/07/2020,First Hawaiian Bank
69000.0,HONOLULU,Hawaii,96817,561790.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,4.0,05/05/2020,First National Bank Texas
16035.0,HONOLULU,,96821,713990.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,1.0,04/10/2020,Bank of Hawaii
94122.5,HONOLULU,Hawaii,96814,621210.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,7.0,04/28/2020,First Hawaiian Bank
5437.0,HALEIWA,,96712,453998.0,Sole Proprietorship,Unanswered,Female Owned,Unanswered,,1.0,05/07/2020,Bank of Hawaii
777.72,Kapaa,,96746,424210.0,LIMITED  LIABILITY COMPANY(LLC),Unanswered,Unanswered,Unanswered,,1.0,04/29/2020,Gather FCU
100020.0,HONOLULU,Hawaii,96814,722513.0,LLC,Unanswered,Unanswered,Unanswered,,14.0,04/16/2020,First Hawaiian Bank
5805.0,HONOLULU,Hawaii,96814,531390.0,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,,05/15/2020,Bank of Hawaii
59095.0,KANEOHE,Hawaii,96744,561510.0,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,,9.0,05/06/2020,"Bank of America, National Association"
7500.0,HONOLULU,HI,96825,446130.0,INDEPENDENT CONTRACTORS,Unanswered,Unanswered,Unanswered,,12.0,04/10/2020,Central Pacific Bank
1625.0,HONOLULU,Hawaii,96819,722511.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,2.0,04/30/2020,Celtic Bank Corporation
46700.0,KAILUA KONA,,96740,531210.0,limited  liability company(llc),Unanswered,Unanswered,Unanswered,,6.0,04/10/2020,Central Pacific Bank
14500.0,Haleiwa,HI,96712,444190.0,LLC,Unanswered,Male Owned,Unanswered,,2.0,05/11/2020,"American Savings Bank, FSB"
15000.0,HILO,HI,96720,811111.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,3.0,04/04/2020,Central Pacific Bank
15728.12,Haleiwa,,,722511.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,4.0,05/09/2020,Celtic Bank Corporation
80700.0,HONOLULU,Hawaii,96819,532420.0,corporation,Unanswered,Unanswered,Unanswered,,11.0,05/12/2020,Central Pacific Bank
26700.0,Honolulu,Hawaii,96813,448310.0,CORPORATION,Unanswered,Unanswered,Unanswered,,0.0,05/03/2020,Central Pacific Bank
6929.0,Honolulu,,96816,453910.0,Sole Proprietorship,Unanswered,Male Owned,Non-Veteran,,0.0,05/07/2020,Central Pacific Bank
7140.83,KAPAA,Hawaii,96746,236118.0,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,1.0,05/01/2020,Gather FCU
3925.0,Kailua Kona,,96740,541921.0,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,1.0,05/04/2020,First Hawaiian Bank
13862.0,KANEOHE,,96744,711410.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,1.0,05/12/2020,Bank of Hawaii
41667.0,KAILUA,HI,96734,541611.0,Limited  Liability Company(LLC),Unanswered,Male Owned,Unanswered,,,04/14/2020,Central Pacific Bank
8800.0,PAHOA,,96778,453998.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0.0,05/14/2020,Central Pacific Bank
61687.0,MAKAWAO,HI,96768,624120.0,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,,04/16/2020,Bank of Hawaii
3795.0,HONOLULU,Hawaii,96825,621330.0,Corporation,Unanswered,Unanswered,Unanswered,,1.0,05/02/2020,First Hawaiian Bank
4425.0,HONOLULU,HI,96815,812112.0,Self-Employed Individuals,Unanswered,Unanswered,Unanswered,,1.0,04/29/2020,Central Pacific Bank
26177.0,Kailua,,96734,541330.0,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,5.0,05/14/2020,"Kabbage, Inc."
38200.0,HONOLULU,Hawaii,96813,541690.0,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,3.0,04/10/2020,"American Savings Bank, FSB"
2867.5,HONOLULU,,96817,999990.0,subchapter s corporation,Unanswered,Unanswered,Unanswered,,1.0,05/07/2020,First Hawaiian Bank
72360.0,LAHAINA,Hawaii,96761,722310.0,LIMITED  LIABILITY COMPANY(LLC),Unanswered,Unanswered,Unanswered,,10.0,04/07/2020,Bank of Hawaii
67900.0,KAPOLEI,Hawaii,96707,445299.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,9.0,04/03/2020,"American Savings Bank, FSB"
4500.0,HILO,Hawaii,96720,811212.0,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,0.0,05/17/2020,Central Pacific Bank
9000.0,KAHULUI,Hawaii,96732,492210.0,limited  liability company(llc),Unanswered,Male Owned,Non-Veteran,,4.0,04/28/2020,Bank of Hawaii
61600.0,WAIPAHU,,,238210.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,6.0,04/06/2020,"American Savings Bank, FSB"
82500.0,HONOLULU,HI,96826,561720.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,20.0,04/11/2020,Central Pacific Bank
13700.0,Hilo,,96720,541110.0,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,0.0,04/30/2020,Central Pacific Bank
2281.0,LAHAINA,Hawaii,96761,624410.0,SEI,Unanswered,Unanswered,Unanswered,,1.0,08/05/2020,"Kabbage, Inc."
27500.0,KANEOHE,,96744,812199.0,LLC,Unanswered,Unanswered,Unanswered,,6.0,04/08/2020,First Hawaiian Bank
14147.0,HONOLULU,,96816,531210.0,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,1.0,04/28/2020,Bank of Hawaii
5250.0,HONOLULU,,96826,722513.0,CORPORATION,Unanswered,Unanswered,Unanswered,,2.0,04/27/2020,Bank of Hawaii
13547.0,HONOLULU,,96815,531210.0,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,1.0,05/15/2020,Bank of Hawaii
8547.0,HONOLULU,HI,96817,812112.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,1.0,05/11/2020,Bank of Hawaii
38332.0,HONOLULU,Hawaii,96819,424490.0,Corporation,Unanswered,Unanswered,Unanswered,,6.0,05/07/2020,First Hawaiian Bank
29200.0,HONOLULU,Hawaii,96816,541199.0,CORPORATION,Unanswered,Unanswered,Unanswered,,5.0,04/29/2020,"American Savings Bank, FSB"
30300.0,HONOLULU,,96815,812111.0,self-employed individuals,Unanswered,Unanswered,Unanswered,,2.0,04/12/2020,Central Pacific Bank
130332.0,Honolulu,Hawaii,96815,454390.0,limited  liability company(llc),Unanswered,Unanswered,Unanswered,,,05/18/2020,"FC Marketplace, LLC (dba Funding Circle)"
10213.55,Kaneohe,Hawaii,96744,812112.0,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,0.0,05/04/2020,Celtic Bank Corporation
58800.0,Waipahu,Hawaii,96797,532310.0,Corp,Asian,Male Owned,Non-Veteran,,5.0,04/15/2020,Hawaii National Bank
20832.0,HONOLULU,,96813,524210.0,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,,06/18/2020,Bank of Hawaii
26100.0,KALAHEO,,96741,531120.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,3.0,04/09/2020,First Hawaiian Bank
3447.3,Honolulu,HI,96813,812111.0,sole proprietorship,Unanswered,Unanswered,Unanswered,,0.0,05/12/2020,Celtic Bank Corporation
20200.0,EWA BEACH,Hawaii,96706,722320.0,Corporation,Unanswered,Unanswered,Unanswered,,13.0,04/28/2020,"American Savings Bank, FSB"
4700.0,HONOLULU,Hawaii,96826,423420.0,SP,Unanswered,Unanswered,Unanswered,,1.0,04/10/2020,Central Pacific Bank
5300.0,HONOLULU,HI,96825,531210.0,Independent Contractors,Unanswered,Unanswered,Unanswered,,1.0,05/01/2020,"American Savings Bank, FSB"
10800.0,HONOLULU,Hawaii,96816,541613.0,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,1.0,04/10/2020,Central Pacific Bank
13500.0,WAILUKU,,96793,453220.0,Corporation,Unanswered,Male Owned,Non-Veteran,,2.0,05/04/2020,"American Savings Bank, FSB"
52300.0,KALAHEO,Hawaii,96741,722511.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,7.0,04/05/2020,"American Savings Bank, FSB"
39800.0,Kalaheo,,96741,811111.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,4.0,04/30/2020,First Hawaiian Bank
121200.0,HONOLULU,Hawaii,96816,721199.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,22.0,04/15/2020,First Hawaiian Bank
70557.0,PRINCEVILLE,,96722,711110.0,partnership,Unanswered,Female Owned,Non-Veteran,,31.0,06/26/2020,Intuit Financing Inc.
1500.0,Honolulu,,96825,453220.0,Self-Employed Individuals,Unanswered,Unanswered,Unanswered,,0.0,05/26/2020,Central Pacific Bank
22700.0,HONOLULU,,96814,541110.0,sole proprietorship,Unanswered,Unanswered,Unanswered,,1.0,04/05/2020,Bank of Hawaii
89277.0,HONOLULU,HI,96818,623110.0,Corporation,Unanswered,Unanswered,Unanswered,,13.0,05/11/2020,Bank of Hawaii
132500.0,HONOLULU,Hawaii,96826,722513.0,Corporation,Unanswered,Unanswered,Unanswered,,23.0,04/06/2020,Central Pacific Bank
32900.0,HONOLULU,,96821,813110.0,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,3.0,04/16/2020,Central Pacific Bank
30500.0,Waikoloa Village,Hawaii,96738,561312.0,Sole Proprietorship,Unanswered,Male Owned,Non-Veteran,,3.0,04/13/2020,"Readycap Lending, LLC"
37755.0,KANEOHE,HI,96744,811121.0,CORPORATION,Unanswered,Unanswered,Unanswered,,3.0,04/16/2020,Bank of Hawaii
21665.0,KAPAA,,96746,561720.0,LIMITED  LIABILITY COMPANY(LLC),Unanswered,Unanswered,Unanswered,,2.0,04/13/2020,Bank of Hawaii
106000.0,KANEOHE,,96744,622110.0,Corporation,Unanswered,Unanswered,Unanswered,,10.0,04/05/2020,Central Pacific Bank
50000.0,KAPOLEI,Hawaii,96707,811121.0,Subchapter S Corporation,Unanswered,Unanswered,Veteran,,4.0,04/05/2020,Bank of Hawaii
69500.0,HONOLULU,Hawaii,96825,238210.0,limited  liability company(llc),Unanswered,Unanswered,Unanswered,,7.0,04/12/2020,Central Pacific Bank
19025.0,MAKAWAO,HI,96768,541611.0,Corp,Unanswered,Unanswered,Unanswered,,,04/15/2020,Bank of Hawaii
44700.0,OCEAN VIEW,HI,96737,999990.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,4.0,04/09/2020,Central Pacific Bank
54800.0,HONOLULU,,,531311.0,CORPORATION,Unanswered,Unanswered,Unanswered,,8.0,04/27/2020,First Hawaiian Bank
13500.0,KIHEI,HI,96753,713990.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,2.0,04/11/2020,Bank of Hawaii
71400.0,AIEA,HI,96701,541990.0,Corporation,Unanswered,Unanswered,Unanswered,,4.0,04/08/2020,First Hawaiian Bank
20832.0,HONOLULU,,96813,531390.0,sole proprietorship,Unanswered,Unanswered,Unanswered,,,06/23/2020,Bank of Hawaii
6695.0,PEARL CITY,Hawaii,96782,812112.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,1.0,04/27/2020,Bank of Hawaii
49700.0,HONOLULU,,96817,236115.0,Corporation,Unanswered,Unanswered,Unanswered,,9.0,04/13/2020,"American Savings Bank, FSB"
2200.0,EWA BEACH,HI,96706,454390.0,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,0.0,04/30/2020,Central Pacific Bank
6557.0,EWA BEACH,Hawaii,96706,561730.0,sole proprietorship,Unanswered,Unanswered,Unanswered,,1.0,05/11/2020,Bank of Hawaii
8345.0,WAILUKU,Hawaii,96793,423310.0,sole proprietorship,Unanswered,Unanswered,Unanswered,,1.0,04/28/2020,Bank of Hawaii
3863.0,KAILUA,,96734,711510.0,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,0.0,05/06/2020,"Wells Fargo Bank, National Association"
6700.0,HONOLULU,HI,96825,541211.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,04/12/2020,Bank of Hawaii
7250.0,WAIMANALO,HI,96795,115112.0,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,1.0,04/27/2020,First Hawaiian Bank
20000.0,HONOLULU,,96815,237990.0,SELF-EMPLOYED INDIVIDUALS,Unanswered,Unanswered,Unanswered,,1.0,05/08/2020,"American Savings Bank, FSB"
17600.0,LAHAINA,HI,96761,531210.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,1.0,04/15/2020,Central Pacific Bank
109300.0,AIEA,,96701,424130.0,Corp,Unanswered,Unanswered,Unanswered,,7.0,04/05/2020,"American Savings Bank, FSB"
3241.92,WAHIAWA,Hawaii,96786,722513.0,LIMITED  LIABILITY COMPANY(LLC),Unanswered,Unanswered,Unanswered,,1.0,05/07/2020,HawaiiUSA FCU
50040.0,KIHEI,HI,96753,722511.0,Corporation,Unanswered,Unanswered,Unanswered,,14.0,05/11/2020,Bank of Hawaii
25000.0,KAILUA,,96734,722330.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,8.0,04/06/2020,"American Savings Bank, FSB"
52100.0,Hilo,HI,96721,445120.0,Corporation,Unanswered,Male Owned,Veteran,,7.0,04/30/2020,First Hawaiian Bank
16052.0,HONOLULU,HI,96817,624310.0,limited  liability company(llc),Asian,Male Owned,Non-Veteran,,1.0,04/12/2020,HawaiiUSA FCU
47400.0,HONOLULU,Hawaii,96813,541110.0,limited  liability company(llc),Unanswered,Unanswered,Unanswered,,3.0,04/05/2020,"American Savings Bank, FSB"
54092.5,Honolulu,,96813,621111.0,subchapter s corporation,Unanswered,Male Owned,Unanswered,,3.0,04/14/2020,First Hawaiian Bank
31250.0,LAHAINA,,96761,722511.0,limited  liability company(llc),Unanswered,Unanswered,Unanswered,,7.0,04/27/2020,Bank of Hawaii
76000.0,HONOLULU,Hawaii,,238220.0,limited  liability company(llc),Unanswered,Unanswered,Unanswered,,10.0,04/10/2020,"American Savings Bank, FSB"
100000.0,HONOLULU,Hawaii,96818,722511.0,SP,Unanswered,Unanswered,Unanswered,,22.0,04/05/2020,First Hawaiian Bank
61100.0,HONOLULU,HI,96826,531390.0,Corp,Unanswered,Unanswered,Unanswered,,5.0,04/13/2020,Central Pacific Bank
24333.0,KAILUA KONA,Hawaii,96740,999990.0,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,5.0,04/30/2020,Cross River Bank
20833.0,Kaneohe,HI,96744,541211.0,SOLE PROPRIETORSHIP,Unanswered,Unanswered,Unanswered,,0.0,04/30/2020,Central Pacific Bank
16400.0,HONOLULU,Hawaii,96830,238320.0,Sole Proprietorship,Unanswered,Unanswered,Unanswered,,1.0,06/03/2020,Cache Valley Bank
