ID,Purposes,tg_columns,Operations,Category
28,Identify venues where the page count exceeds 10.,"page_count, venue","regexr_transform, mass_edit, upper, trim,numeric",Filtering and Specific Queries
29,Filter menus where the occasion column contains 'DAILY'.,occasion,"trim, mass_edit",Filtering and Specific Queries
30,How many different types of currency in menus?,currency,"mass_edit, trim",Filtering and Specific Queries
31,Count how many types of risks are recorded in the dataset.,Risk,mass_edit,Counting and Grouping
32,What percentages of businesses are inspected as out of business? ,Results,"mass_edit, upper",Descriptive Statistics
33,Identify the main facility types that are inspected.,Facility Type,"mass_edit, upper,trim",Counting and Grouping
34,Identify which facility types are inspected least frequently.,Facility Type,"mass_edit, upper, trim",Counting and Grouping
35,Count the unique types of inspections.,Inspection Type,"upper, trim, mass_edit",Counting and Grouping
36,"List all failed inspections for the establishment with the DBA name ""7-Eleven.""","DBA Name, Results","mass_edit, upper, trim",Filtering and Specific Queries
37,"Calculate the inspection passing rate (number of passing inspections/total inspections) for each brand (the same DBA Name), 
sorting to identify the best brand.","DBA Name, Results","mass_edit,upper, trim",Descriptive Statistics
38,List the facilities with the best inspection ratings: Risk 3 (Low).,"Facility Type, Risk","regexr_transform, upper, trim, mass_edit",Descriptive Statistics
39,List the facilities with the worst inspection ratings: Risk 1 (High).,"Facility Type, Risk","mass_edit, upper, trim, regexr_transform",Descriptive Statistics
40,Identify the most frequently occurring risk rating for each facility type.,"Facility Type, Risk","trim, upper, mass_edit",Counting and Grouping
41,Identify the facility type associated with the high public risk (risk level is Risk 1).,"Facility Type, Risk","trim, upper, mass_edit",Category or Type Classification
42,Determine how many grocery stores are classified as high risk (Risk 1).,"Facility Type, Risk","upper, trim, mass_edit, regexr_transform",Counting and Grouping
43,Find the most common result for each facility.,"Facility Type, Results","trim, mass_edit, upper, regexr_transform",Counting and Grouping
44,Explore the proportion of inspections that result in a positive outcome.,Results,"upper, trim, mass_edit",Descriptive Statistics
45,Calculate the average number of inspections per facility type.,"Facility Type, Inspection ID","mass_edit, regexr_transform, trim, upper, numeric",Descriptive Statistics
46,"What is the correlation between risk level and risk label? For example, is risk 1 always with high?",Risk,"regexr_transform, mass_edit, trim",Filtering and Specific Queries
47,Determine the facility type with the highest failure rate.,"Facility Type, Results","mass_edit, regexr_transform, trim, upper",Descriptive Statistics
48,List the franchise with the most frequent inspections.        ,"DBA Name, Inspection ID","regexr_transform, mass_edit, trim, numeric",Filtering and Specific Queries
49,"Determine the number of school restaurants that are the safest in terms of standards and quality, 
as indicated by the lowest risk level and inspection results.","Facility Type, Risk, Results","trim, upper, mass_edit",Time-based Analysis
50,Count the number of inspections conducted as part of a complaint.,Inspection Type,"mass_edit, trim, upper",Descriptive Statistics
51,Locate facilities with positive inspection results.,"Facility Type,Results","trim, upper, mass_edit, regexr_transform",Filtering and Specific Queries
52,"Identify the addresses of facilities that are considered safe for food consumption based on risk (Risk 3 (Low)) 
and inspection results (pass).","Address, Risk, Results","upper, trim, regexr_transform, mass_edit",Filtering and Specific Queries
53,"List the inspection results for all businesses with ""Risk 1 (Low).""","Risk, Results","trim, mass_edit, upper, regexr_transform",Filtering and Specific Queries
54,Determine the most recent year of inspection dates.,Inspection Date,"regexr_transform, trim, date",Time-based Analysis
55,Identify the most occurred business names.,DBA Name,"regexr_transform, trim, upper, mass_edit",Counting and Grouping
56,List license IDs with the best inspection results (Pass).,"License #, Results","trim, regexr_transform, mass_edit, upper, numeric",Descriptive Statistics
57,Identify businesses where the inspection risk level varies significantly over time.,"DBA Name, Risk, Inspection Date","regexr_transform, trim, upper, mass_edit, date",Time-based Analysis
58,Identify the most common risk levels for inspections conducted in restaurant.,"Facility Type, Risk","regexr_transform, trim, upper, mass_edit",Counting and Grouping
59,Identify businesses inspected on the most recent date.,"DBA Name, Inspection Date","regexr_transform, trim, upper, date",Time-based Analysis
60,Determine the id of facility type that are inspected in the most recent date.,"Facility Type, Inspection ID, Inspection Date","regexr_transform, trim, numeric, mass_edit, upper, date",Descriptive Statistics
127,Count the number of hospitals per city.,City,"trim,upper, mass_edit",Counting and Grouping
128,Explore whether larger cities host more hospitals.,City,"trim,upper, mass_edit",Correlations and Relationships
129,Calculate the average number of hospitals per county.,CountyName,"trim,upper, mass_edit",Descriptive Statistics
130,"Determine the top 3  counties whose hospital type is ""acute care hospitals"" offering emergency services.","HospitalType, CountyName, EmergencyService","trim,upper, mass_edit, regexr_transform",Descriptive Statistics
131,Identify the hospital ownership types that are most common in cities with multiple ZIP codes.,"HospitalOwner, City, ZipCode","trim,upper, mass_edit, regexr_transform, numeric",Descriptive Statistics
132,Compute the average length of hospital names grouped by hospital type and ownership.,"HospitalName, HospitalType, HospitalOwner","trim,upper, mass_edit, regexr_transform",Descriptive Statistics
133,"Count the number of hospitals offering emergency services by ""acute care hospitals"" hospital type.","EmergencyService, HospitalType","trim,upper, mass_edit, regexr_transform",Counting and Grouping
134,Determine the most frequent combinations of hospital type and ownership.,"HospitalType, HospitalOwner","trim,upper, mass_edit, regexr_transform",Counting and Grouping
135,"Count the number of hospitals by county, grouped by the presence or absence of emergency services.","CountyName, EmergencyService","trim,upper, mass_edit, regexr_transform",Counting and Grouping
136,Find the number of cities with hospitals owned by voluntary non-profits and offering emergency services.,"City, HospitalOwner, EmergencyService","trim,upper, mass_edit, regexr_transform",Counting and Grouping
137,Find hospital types among different counties.,"CountyName, HospitalType","trim,upper, regexr_transform, mass_edit",Category or Type Classification
138,Identify cities where critical access hospitals are primarily government-owned.,"HospitalType, HospitalOwner, City","trim,upper, regexr_transform, mass_edit",Category or Type Classification
139,Count ZIP codes based on the diversity of hospital types and ownerships.,"ZipCode, HospitalType, HospitalOwner","trim, numeric, upper, regexr_transform, mass_edit",Category or Type Classification
140,Determine the top 3 cities with the highest ratio of acute care hospitals to total hospitals.,"City, HospitalType","trim,upper, regexr_transform, mass_edit",Category or Type Classification
141,Analyze how hospital types evolve across the ZIP code of one city.,"HospitalType, City, ZipCode","trim, numeric, upper, regexr_transform, mass_edit",Time-based Analysis
142,Analyze trends in emergency service availability across hospital types with the highest hospital counts.,"EmergencyService, HospitalType","trim, regexr_transform, mass_edit, upper",Time-based Analysis
143,Analyze whether the hospital owernship changed among counties for the same type.,"CountyName, HospitalOwner, HospitalType","trim, regexr_transform, mass_edit, upper",Time-based Analysis
144,Assess the relationship between hospital ownership and the likelihood of offering emergency services.,"HospitalOwner, EmergencyService","trim, regexr_transform, mass_edit, upper",Correlations and Relationships
145,Investigate correlations between city size (estimated by the number of hospitals) and the prevalence of emergency services.,"City, EmergencyService","trim, regexr_transform, mass_edit, upper",Correlations and Relationships
146,Explore the relationship between hospital types and their geographical distribution by ZIP code.,"HospitalType, ZipCode","trim, numeric, upper, regexr_transform, mass_edit",Correlations and Relationships
147,Analyze how ownership type correlates with hospital type.,"HospitalOwner, HospitalType","trim, mass_edit, upper, regexr_transform",Correlations and Relationships
148,Retrieve the number of counties that offer the emergency services.,"EmergencyService, CountyName","trim, upper, mass_edit",Filtering and Specific Queries
149,Filter for hospitals owned by governments that are located in ZIP codes with multiple hospital types.,"HospitalOwner, ZipCode, HospitalType","trim, numeric, upper, regexr_transform, mass_edit",Filtering and Specific Queries
150,How many hospital types offer emergency services.,"HospitalType, EmergencyService","trim, regexr_transform, mass_edit, upper",Filtering and Specific Queries
151,Query hospitals in cities with voluntary non-profit ownership and their hospital type.,"City, HospitalOwner, HospitalType","trim, regexr_transform, mass_edit, upper",Filtering and Specific Queries
152,Identify cities where government-owned hospitals dominate the hospital landscape.,"HospitalOwner, City","trim, mass_edit, upper, regexr_transform",Category or Type Classification
153,Determine the relationship between ZIP code density and the likelihood of offering emergency services.,"ZipCode, EmergencyService","trim, mass_edit, upper, numeric",Correlations and Relationships
154,Filter for hospitals located in cities with at least three different hospital ownership types.,"City, HospitalOwner","trim, mass_edit, upper, regexr_transform",Filtering and Specific Queries
